Project Number,MH Name,County,Street City State Zip,Lots,Approval Date,Primary Status,Owner Name,PlantCity
PRMZ001614,FLORIDA HOLINESS CAMP GROUND,Polk,"3335 S FLORIDA AVE, LAKELAND, FL 33803",101,12/12/1988,Approved,"FLORIDA HOLINESS CAMPGROUND, INC.",
PRMZ001679,RIVERBEND MOBILE VILLAGE,Pasco,"5330 GREEN KEY RD, NEW PORT RICHEY, FL 34652",90,10/15/2001,Approved,,
PRMZ001329,RIVERSIDE MOBILE HOME PARK,Hillsborough,"1501 SUSIE CIRCLE, RUSKIN, FL 33570",51,01/28/2002,Approved,,
PRMZ000158,CHELETTE MANOR,Polk,"2300 E STATE RD 60, LAKE WALES, FL 33853",64,06/27/2007,Approved,,
PRMZ003248,SOUTHFORK MOBILE HOME COMMUNITY,Pasco,"10808 US 98 SOUTH, DADE CITY, FL 33525",241,06/16/2016,Approved,"HEILER, ALFRED (TRUSTEE)",
PRMZ000051,SUN VISTA MOBILE HOME PARK,Polk,"900 OHLINGER RD, BABSON PARK, FL 33827",60,08/17/2026,Approved,,
PRMZ002919,HICKORY LAKE ESTATES,Polk,"1640 S SCENIC HWY, FROSTPROOF, FL 33843",142,08/18/2026,Approved,,
PR9792,ST JOSEPH'S MHP,Hillsborough,"5233 PINE STREET, SEFFNER, FL 33586",13,09/23/2004,Approved,,
PR9803,CYPRESS CREEK VILLAGE,Polk,"117 MONTEREY CYPRESS BLVD, WINTER HAVEN, FL 33881",552,01/20/2026,Approved,CRF III LTD,
PR9808,ROCKY CREEK VILLAGE,Hillsborough,"8400 W WATERS AVE, TAMPA, FL 33615",160,08/18/2016,Approved,ROCKY CREEK RETIREMENT PROPERTIES INC,
PR9817,RESERVE AT GRAND VALLEY,Pasco,"7306 OSTEEN RD, NEW PORT RICHEY, FL 34653",37,05/20/2026,Approved,,
PR9821,CLYDE'S COTTAGES,Pasco,"3927 CRYSTAL SPRINGS RD, ZEPHYRHILLS, FL 33541",10,06/30/2015,Approved,CLYDE'S COTTAGES MH AND RV PARK LLC,
PR9833,HIGHLAND OAKS,Hillsborough,"4943 HILLSBOROUGH AVE, TAMPA, FL 33610",86,03/11/2025,Approved,HIGHLAND OAKS MHC LLC,
PR9836,BAY LANDINGS EAST,Hillsborough,"11211 E BAY RD # 10, GIBSONTON, FL 33534",94,11/17/2020,Approved,BULLFROG MHC LLC,
PR9835,BAY LANDINGS WEST,Hillsborough,"8750 SYMMES RD, GIBSONTON, FL 33534",40,11/20/2020,Approved,BULLFROG MHC LLC,
PR9840,PELICAN SUN ESTATES 2,Hillsborough,"11123 N NEBRASKA AVE, TAMPA, FL 33612",34,07/01/2021,Approved,PELICAN SUN ESTATES GP LLC,
PR9839,PELICAN SUN ESTATES 1,Hillsborough,"10921 N NEBRASKA AVE, TAMPA, FL 33612",30,11/15/2024,Approved,PELICAN SUN ESTATES GP LLC,
PR9841,TAMPA SUN ESTATES,Hillsborough,"10101 N FLORIDA AVE, TAMPA, FL 33612",69,08/18/2022,Approved,TAMPA SUN ESTATES LLC,
PR9845,TAMPA SUN ESTATES 3,Hillsborough,"10603 N NEBRASKA AVE, TAMPA, FL 33612",52,10/11/2021,Approved,TAMPA SUN ESTATES 3 AND 4 LLC,
PR9846,TAMPA SUN ESTATES 4,Hillsborough,"14011 N NEBRASKA AVE, TAMPA, FL 33612",48,10/05/2021,Approved,TAMPA SUN ESTATES 3 AND 4 LLC,
PR9854,TAMPA SUN ESTATES 5,Hillsborough,"221 21ST ST SE, RUSKIN, FL 33570",34,07/08/2022,Approved,TAMPA SUN ESTATES 5 LLC,
PR9883,VALRICO MOBILE HOME PARK,Hillsborough,"1221 N VALRICO RD, VALRICO, FL 33594",0,06/18/2025,Approved,VALRICO MHP LLC,
PR9884,FOREST GREEN ACRES,Pasco,"11337 HUDSON AVE, HUDSON, FL 34669",0,06/18/2025,Approved,FOREST GREEN ACRES MHP LLC,
PR9885,WATERSIDE MOBILE HOME PARK,Hillsborough,"8536 HONEYWELL RD, GIBSONTON, FL 33534",0,12/23/2025,Approved,WATERSIDE MHP LLC,
PR9889,NEW RIVER GARDENS,Pasco,"3815 NEW RIVER RD, WESLEY CHAPEL, FL 33543",14,01/20/2026,Approved,UAH TAMPA I LLC,
PR9890,PLEASANT VILLAGE GARDENS,Pasco,"4531 GAIL BLVD, ZEPHYRHILLS, FL 33542",18,01/20/2026,Approved,UAH TAMPA I LLC,
PR9893,CAROUSEL MOBILE HOME COMMUNITY,Hillsborough,"5410 N FALKENBURG RD, TAMPA, FL 33610",46,08/03/2026,Approved,CAROUSEL MHP LLC,
PR9894,TWIN PALMS MOBILE HOME COMMUNITY,Hillsborough,"11520 E US  HWY 92, SEFFNER, FL 33584",0,08/07/2026,Approved,ANGEL WOODS MHP LLC,
PR9897,CITRUS KNOLL MOBILE HOME COMMUNITY,Hillsborough,"12960 MORRIS BRIDGE RD, THONOTOSASSA, FL 33592",34,08/07/2026,Approved,CITRUS KNOLL TAMPA MHP LLC,
PR9901,J & L MOBILE HOME COMMUNITY,Hillsborough,"2310 S 50TH ST, TAMPA, FL 33619",0,08/19/2026,Approved,J AND L MHP LLC,
